bhk,area,region,status,price_in_USD,house_type,new
2,650,0,1,314400.0,0,0
1,803,0,0,270000.0,0,0
1,684,0,0,204000.0,0,0
1,545,0,0,192000.0,0,0
2,1650,0,0,420000.0,0,0
2,1179,0,0,330000.0,0,0
3,1702,0,0,540000.0,0,1
2,1270,0,1,420000.0,0,1
3,2060,0,0,570000.0,0,0
2,1650,0,0,408000.0,0,0
4,3454,0,0,1500000.0,0,1
3,2416,0,0,960000.0,0,1
3,1716,0,0,540000.0,0,0
3,1950,0,0,510000.0,0,0
3,1716,0,0,600000.0,0,0
4,3894,0,0,1200000.0,0,0
2,1235,0,0,336000.0,0,0
3,1716,0,0,540000.0,0,0
3,2062,0,0,540000.0,0,0
3,1702,0,0,510000.0,0,1
2,1250,0,0,402000.0,0,0
3,2000,0,0,600000.0,0,0
2,1250,0,0,402000.0,0,0
1,800,0,0,312000.0,0,0
2,1300,0,0,468000.0,0,0
1,800,0,0,312000.0,0,0
2,1250,0,0,360000.0,0,0
3,1400,0,0,684000.0,0,0
2,1300,0,0,492000.0,0,0
2,1350,0,0,504000.0,0,0
2,1479,0,0,600000.0,0,1
4,3676,0,0,990000.0,0,0
2,1455,0,0,420000.0,0,1
2,1875,0,0,420000.0,0,0
3,1350,0,0,720000.0,0,1
3,1675,0,0,480000.0,0,0
2,1350,0,0,450000.0,0,0
2,680,0,0,270000.0,0,0
4,4000,0,0,2160000.0,0,0
1,900,0,0,240000.0,0,0
4,2100,0,0,1080000.0,0,0
2,638,1,1,151200.0,0,1
1,465,1,1,108000.0,0,1
1,660,1,0,85200.0,0,0
1,555,1,0,102000.0,0,0
4,2200,1,0,228000.0,0,0
1,695,1,0,105600.0,0,0
2,995,1,0,156000.0,0,0
1,625,1,0,102000.0,0,0
1,650,1,0,114000.0,0,1
1,665,1,0,81600.0,0,0
1,680,1,0,114000.0,0,0
2,1100,1,0,192000.0,0,0
3,1470,1,0,234000.0,0,1
2,1050,1,0,134400.00000000003,0,0
1,680,1,0,105600.0,0,0
1,615,1,0,84000.0,0,0
1,680,1,0,103200.0,0,0
2,1245,1,0,153600.0,0,0
1,690,1,0,93600.0,0,0
1,425,1,0,52800.0,2,0
3,1580,1,0,336000.0,0,0
1,680,1,0,98400.0,0,0
4,1245,1,0,270000.0,0,0
3,1545,1,0,180000.0,0,0
1,698,1,0,126000.0,0,0
1,680,1,0,114000.0,0,0
2,1245,1,0,152400.0,0,0
2,1245,1,0,146400.0,0,0
1,667,1,0,90000.0,0,0
3,1850,1,0,372000.0,0,0
3,2150,1,0,378000.0,0,0
2,1245,1,0,180000.0,0,0
1,667,1,0,102000.0,0,0
2,910,1,0,144000.0,0,0
2,1425,1,0,270000.0,0,0
2,1120,1,0,156000.0,0,0
2,1150,1,0,132000.0,0,0
1,695,1,0,102000.0,0,0
2,1245,1,0,186000.0,0,0
3,1500,1,1,336000.0,0,1
2,995,1,0,174000.0,0,0
1,680,1,0,102000.0,0,0
1,698,1,0,110400.0,0,0
2,1125,1,0,132000.0,0,0
1,610,1,0,87600.0,0,0
2,1100,1,1,228000.0,0,1
2,1000,1,0,144000.0,0,0
1,650,1,0,90000.0,0,0
1,750,1,0,126000.0,0,0
3,1800,1,0,270000.0,0,0
1,521,1,0,50400.0,0,0
3,1690,1,0,390000.0,0,1
2,1100,1,0,132000.0,0,0
2,1100,1,0,174000.0,0,0
1,520,1,0,103200.0,0,0
3,2080,1,1,300000.0,0,1
2,1400,1,1,234000.0,0,1
2,750,1,0,114000.0,0,0
1,610,1,0,85200.0,0,0
1,650,1,0,86400.0,0,0
2,1010,1,0,156000.0,0,0
2,1100,1,0,126000.0,0,0
1,520,1,0,94800.0,0,0
2,1245,1,0,150000.0,0,0
2,1100,1,1,210000.0,0,1
1,560,1,0,90000.0,0,0
2,1050,1,1,216000.0,0,1
1,590,1,0,90000.0,0,0
1,555,1,0,102000.0,0,0
1,680,1,0,102000.0,0,0
1,600,1,0,87600.0,0,0
1,545,1,0,93600.0,0,0
1,648,1,0,86400.0,0,0
1,680,1,0,102000.0,0,0
2,980,1,0,162000.0,0,1
2,1100,1,0,168000.0,0,0
2,1100,1,0,162000.0,0,0
1,680,1,0,115200.0,0,0
2,1245,1,0,192000.0,0,0
2,1150,1,0,163200.00000000003,0,0
1,550,1,0,102000.0,0,0
2,750,1,0,168000.0,0,0
2,1050,1,0,144000.0,0,1
4,2400,1,0,516000.0,0,0
1,560,1,0,105600.0,0,0
1,600,1,0,96000.0,0,0
2,960,1,0,174000.0,0,0
1,720,1,0,105600.0,0,0
1,650,1,0,93600.0,0,0
1,735,1,0,120000.0,0,0
2,1040,1,0,156000.0,0,0
3,1100,1,0,189600.0,0,0
1,530,1,0,50400.0,0,0
1,590,1,1,87600.0,0,1
2,750,1,1,162000.0,0,1
2,1200,1,0,150000.0,0,0
2,950,1,0,162000.0,0,0
2,1245,1,0,164400.00000000003,0,0
1,650,1,0,102000.0,0,0
2,1025,1,0,120000.0,0,0
2,1040,1,0,154800.0,0,0
2,1100,1,0,174000.0,0,1
2,1180,1,1,150000.0,0,1
1,795,1,1,100800.0,0,1
1,555,1,0,108000.0,0,0
3,1750,1,0,330000.0,0,0
2,1100,1,0,151200.0,0,0
2,1150,1,0,134400.00000000003,0,0
1,550,1,0,60000.0,0,0
2,800,1,0,84000.0,0,0
1,500,1,0,54000.0,0,0
1,675,1,0,96000.0,0,0
2,1245,1,0,176400.0,0,0
2,1245,1,0,240000.0,0,0
2,1245,1,0,180000.0,0,0
2,1050,1,0,146400.0,0,0
3,1680,1,0,252000.0,0,0
3,1680,1,0,252000.0,0,0
2,1150,1,0,150000.0,0,0
2,1245,1,0,182400.0,0,0
2,1050,1,0,150000.0,0,0
1,690,1,0,93600.0,0,0
1,555,1,0,80400.0,0,0
2,950,1,0,150000.0,0,0
1,555,1,0,90000.0,0,0
1,555,1,0,86400.0,0,0
1,670,1,0,103200.0,0,0
2,950,1,0,144000.0,0,0
1,600,1,0,103200.0,0,0
1,550,1,0,74400.0,0,0
1,550,1,0,74400.0,0,0
2,850,1,0,132000.0,0,0
1,580,1,0,102000.0,0,0
1,555,1,0,102000.0,0,0
1,375,1,0,48000.0,2,0
2,950,1,0,186000.0,0,0
3,1500,1,0,300000.0,0,0
1,802,1,1,91200.0,0,1
2,1435,1,1,222000.0,0,1
3,1952,1,1,298800.00000000006,0,1
1,620,1,0,72000.0,0,0
1,550,1,0,78600.0,0,0
1,560,1,0,90000.0,0,0
2,950,1,0,120000.0,0,0
