bhk,type,locality,area,price,price_unit,region,status,age,price_in_USD
3,0,3019,685,2.5,Cr,8,0,New,300000.0
2,0,4965,640,52.51,L,124,1,New,63012.0
2,0,7031,610,1.73,Cr,31,1,New,207600.0
2,0,8484,876,59.98,L,140,1,New,71976.0
2,0,4288,659,94.11,L,117,1,New,112932.0
2,0,954,826,3.3,Cr,141,1,New,396000.0
5,4,287,2921,1.99,Cr,28,1,New,238800.0
3,0,7647,778,2.89,Cr,154,1,New,346800.0
1,0,8319,396,29.84,L,15,0,New,35808.0
2,0,499,671,2.72,Cr,51,1,New,326400.00000000006
1,3,81,502,16.56,L,16,1,New,19871.999999999996
2,0,9304,950,41.75,L,93,1,New,50100.0
3,0,171,753,1.77,Cr,34,1,New,212400.0
2,0,7052,605,1.55,Cr,68,1,New,186000.0
1,0,458,557,58.5,L,205,1,New,70200.0
2,0,4774,635,83.0,L,72,1,New,99600.0
1,0,1848,450,1.39,Cr,147,1,New,166799.99999999997
3,0,738,1259,2.8,Cr,55,0,New,336000.0
2,0,5247,555,1.42,Cr,194,1,New,170400.0
3,0,690,1274,4.2,Cr,8,1,New,504000.0
2,0,3712,582,1.49,Cr,213,1,New,178800.0
1,0,7826,483,37.52,L,26,1,New,45024.00000000001
1,0,9442,320,69.9,L,34,1,New,83880.00000000001
1,0,4823,396,42.99,L,194,1,New,51588.0
2,0,4834,638,1.26,Cr,2,1,New,151200.0
2,0,9097,1047,49.58,L,5,1,New,59496.0
2,0,1343,1080,57.24,L,26,0,New,68688.0
2,0,768,555,1.31,Cr,30,1,New,157200.0
1,0,2523,261,47.5,L,140,1,New,57000.0
2,0,9713,594,34.5,L,5,0,New,41400.0
1,0,8544,445,34.14,L,217,1,New,40968.0
1,0,447,409,32.0,L,140,1,New,38400.0
4,0,5221,1874,2.7,Cr,91,1,New,324000.0
1,0,8137,450,54.99,L,198,1,New,65988.0
3,0,4012,859,1.37,Cr,140,1,New,164400.00000000003
2,0,8118,720,1.31,Cr,194,1,New,157200.0
1,0,9013,404,58.0,L,78,1,New,69600.0
2,0,746,604,1.44,Cr,67,1,New,172800.0
3,0,2678,1116,2.85,Cr,120,1,New,342000.0
1,1,9376,701,30.99,L,136,1,New,37188.0
3,0,8683,902,2.59,Cr,62,1,New,310800.0
2,0,8394,990,45.45,L,190,1,New,54540.0
1,0,78,313,27.56,L,151,1,New,33072.0
1,0,7548,409,30.15,L,194,1,New,36180.0
2,0,4540,560,1.32,Cr,120,1,New,158400.0
1,0,6966,448,1.34,Cr,56,1,New,160800.0
1,0,4847,386,27.96,L,190,0,New,33552.0
2,0,4697,539,46.21,L,197,1,New,55452.0
3,0,9157,1625,1.45,Cr,198,0,New,174000.0
3,0,3019,685,2.5,Cr,8,0,New,300000.0
2,0,4965,640,52.51,L,124,1,New,63012.0
2,0,7031,610,1.73,Cr,31,1,New,207600.0
2,0,8484,876,59.98,L,140,1,New,71976.0
2,0,4288,659,94.11,L,117,1,New,112932.0
2,0,954,826,3.3,Cr,141,1,New,396000.0
5,4,287,2921,1.99,Cr,28,1,New,238800.0
3,0,7647,778,2.89,Cr,154,1,New,346800.0
1,0,8319,396,29.84,L,15,0,New,35808.0
2,0,499,739,2.95,Cr,51,1,New,354000.0
1,0,81,635,20.95,L,16,1,New,25140.0
2,0,9304,950,41.75,L,93,1,New,50100.0
3,0,171,753,1.77,Cr,34,1,New,212400.0
2,0,7052,605,1.55,Cr,68,1,New,186000.0
1,0,458,477,51.0,L,205,1,New,61200.0
2,0,4774,635,83.0,L,72,1,New,99600.0
1,0,1848,450,1.39,Cr,147,1,New,166799.99999999997
3,0,738,1259,2.8,Cr,55,0,New,336000.0
2,0,5247,515,1.24,Cr,194,1,New,148800.0
3,0,690,1274,4.2,Cr,8,1,New,504000.0
2,0,3712,582,1.49,Cr,213,1,New,178800.0
2,0,7826,720,57.07,L,26,1,New,68484.0
1,0,9442,320,69.9,L,34,1,New,83880.00000000001
1,0,4823,396,42.99,L,194,1,New,51588.0
1,0,4834,465,90.0,L,2,1,New,108000.0
2,0,9097,1047,49.58,L,5,1,New,59496.0
2,0,1343,1080,57.24,L,26,0,New,68688.0
2,0,768,555,1.31,Cr,30,1,New,157200.0
1,0,2523,261,47.49,L,140,1,New,56988.0
2,0,9713,528,31.5,L,5,0,New,37800.0
2,0,8544,586,45.03,L,217,1,New,54036.0
2,0,447,563,42.0,L,140,1,New,50400.0
2,0,5221,990,1.51,Cr,91,1,New,181200.0
2,0,4012,709,1.14,Cr,140,1,New,136799.99999999997
4,0,8118,1300,2.54,Cr,194,1,New,304800.0
2,0,9013,628,90.0,L,78,1,New,108000.0
2,0,746,587,1.4,Cr,67,1,New,168000.0
3,0,2678,1056,2.45,Cr,120,1,New,294000.0
1,1,9376,701,30.99,L,136,1,New,37188.0
3,0,8683,902,2.59,Cr,62,1,New,310800.0
1,0,8394,695,31.8,L,190,1,New,38160.0
1,0,78,313,27.56,L,151,1,New,33072.0
1,3,7548,270,20.39,L,194,1,New,24468.0
2,0,4540,625,1.47,Cr,120,1,New,176400.0
2,0,6966,639,1.91,Cr,56,1,New,229200.0
2,0,4847,614,44.44,L,190,0,New,53328.0
1,0,4697,365,29.02,L,197,1,New,34824.0
1,0,9254,750,57.0,L,198,1,New,68400.0
1,0,4965,425,33.49,L,124,1,New,40188.0
3,0,7031,845,2.35,Cr,31,1,New,282000.0
1,0,4288,473,69.65,L,117,1,New,83580.00000000001
1,0,4965,425,33.49,L,124,1,New,40188.0
