bhk,area,region,status,price_in_USD,house_type,new
2,650,Agripada,1,314400.0,0,0
1,803,Agripada,0,270000.0,0,0
1,684,Agripada,0,204000.0,0,0
1,545,Agripada,0,192000.0,0,0
2,1650,Agripada,0,420000.0,0,0
2,1179,Agripada,0,330000.0,0,0
3,1702,Agripada,0,540000.0,0,1
2,1270,Agripada,1,420000.0,0,1
3,2060,Agripada,0,570000.0,0,0
2,1650,Agripada,0,408000.0,0,0
4,3454,Agripada,0,1500000.0,0,1
3,2416,Agripada,0,960000.0,0,1
3,1716,Agripada,0,540000.0,0,0
3,1950,Agripada,0,510000.0,0,0
3,1716,Agripada,0,600000.0,0,0
4,3894,Agripada,0,1200000.0,0,0
2,1235,Agripada,0,336000.0,0,0
3,1716,Agripada,0,540000.0,0,0
3,2062,Agripada,0,540000.0,0,0
3,1702,Agripada,0,510000.0,0,1
2,1250,Agripada,0,402000.0,0,0
3,2000,Agripada,0,600000.0,0,0
2,1250,Agripada,0,402000.0,0,0
1,800,Agripada,0,312000.0,0,0
2,1300,Agripada,0,468000.0,0,0
1,800,Agripada,0,312000.0,0,0
2,1250,Agripada,0,360000.0,0,0
3,1400,Agripada,0,684000.0,0,0
2,1300,Agripada,0,492000.0,0,0
2,1350,Agripada,0,504000.0,0,0
2,1479,Agripada,0,600000.0,0,1
4,3676,Agripada,0,990000.0,0,0
2,1455,Agripada,0,420000.0,0,1
2,1875,Agripada,0,420000.0,0,0
3,1350,Agripada,0,720000.0,0,1
3,1675,Agripada,0,480000.0,0,0
2,1350,Agripada,0,450000.0,0,0
2,680,Agripada,0,270000.0,0,0
4,4000,Agripada,0,2160000.0,0,0
1,900,Agripada,0,240000.0,0,0
4,2100,Agripada,0,1080000.0,0,0
2,638,Airoli,1,151200.0,0,1
1,465,Airoli,1,108000.0,0,1
1,660,Airoli,0,85200.0,0,0
1,555,Airoli,0,102000.0,0,0
4,2200,Airoli,0,228000.0,0,0
1,695,Airoli,0,105600.0,0,0
2,995,Airoli,0,156000.0,0,0
1,625,Airoli,0,102000.0,0,0
1,650,Airoli,0,114000.0,0,1
1,665,Airoli,0,81600.0,0,0
1,680,Airoli,0,114000.0,0,0
2,1100,Airoli,0,192000.0,0,0
3,1470,Airoli,0,234000.0,0,1
2,1050,Airoli,0,134400.00000000003,0,0
1,680,Airoli,0,105600.0,0,0
1,615,Airoli,0,84000.0,0,0
1,680,Airoli,0,103200.0,0,0
2,1245,Airoli,0,153600.0,0,0
1,690,Airoli,0,93600.0,0,0
1,425,Airoli,0,52800.0,2,0
3,1580,Airoli,0,336000.0,0,0
1,680,Airoli,0,98400.0,0,0
4,1245,Airoli,0,270000.0,0,0
3,1545,Airoli,0,180000.0,0,0
1,698,Airoli,0,126000.0,0,0
1,680,Airoli,0,114000.0,0,0
2,1245,Airoli,0,152400.0,0,0
2,1245,Airoli,0,146400.0,0,0
1,667,Airoli,0,90000.0,0,0
3,1850,Airoli,0,372000.0,0,0
3,2150,Airoli,0,378000.0,0,0
2,1245,Airoli,0,180000.0,0,0
1,667,Airoli,0,102000.0,0,0
2,910,Airoli,0,144000.0,0,0
2,1425,Airoli,0,270000.0,0,0
2,1120,Airoli,0,156000.0,0,0
2,1150,Airoli,0,132000.0,0,0
1,695,Airoli,0,102000.0,0,0
2,1245,Airoli,0,186000.0,0,0
