bhk,type,locality,area,region,status,age,price_in_USD
3,0,3019,685,8,0,0,300000.0
2,0,4965,640,124,1,0,63012.0
2,0,7031,610,31,1,0,207600.0
2,0,8484,876,140,1,0,71976.0
2,0,4288,659,117,1,0,112932.0
2,0,954,826,141,1,0,396000.0
5,4,287,2921,28,1,0,238800.0
3,0,7647,778,154,1,0,346800.0
1,0,8319,396,15,0,0,35808.0
2,0,499,671,51,1,0,326400.00000000006
1,3,81,502,16,1,0,19871.999999999996
2,0,9304,950,93,1,0,50100.0
3,0,171,753,34,1,0,212400.0
2,0,7052,605,68,1,0,186000.0
1,0,458,557,205,1,0,70200.0
2,0,4774,635,72,1,0,99600.0
1,0,1848,450,147,1,0,166799.99999999997
3,0,738,1259,55,0,0,336000.0
2,0,5247,555,194,1,0,170400.0
3,0,690,1274,8,1,0,504000.0
2,0,3712,582,213,1,0,178800.0
1,0,7826,483,26,1,0,45024.00000000001
1,0,9442,320,34,1,0,83880.00000000001
1,0,4823,396,194,1,0,51588.0
2,0,4834,638,2,1,0,151200.0
2,0,9097,1047,5,1,0,59496.0
2,0,1343,1080,26,0,0,68688.0
2,0,768,555,30,1,0,157200.0
1,0,2523,261,140,1,0,57000.0
2,0,9713,594,5,0,0,41400.0
1,0,8544,445,217,1,0,40968.0
1,0,447,409,140,1,0,38400.0
4,0,5221,1874,91,1,0,324000.0
1,0,8137,450,198,1,0,65988.0
3,0,4012,859,140,1,0,164400.00000000003
2,0,8118,720,194,1,0,157200.0
1,0,9013,404,78,1,0,69600.0
2,0,746,604,67,1,0,172800.0
3,0,2678,1116,120,1,0,342000.0
1,1,9376,701,136,1,0,37188.0
3,0,8683,902,62,1,0,310800.0
2,0,8394,990,190,1,0,54540.0
1,0,78,313,151,1,0,33072.0
1,0,7548,409,194,1,0,36180.0
2,0,4540,560,120,1,0,158400.0
1,0,6966,448,56,1,0,160800.0
1,0,4847,386,190,0,0,33552.0
2,0,4697,539,197,1,0,55452.0
3,0,9157,1625,198,0,0,174000.0
3,0,3019,685,8,0,0,300000.0
2,0,4965,640,124,1,0,63012.0
2,0,7031,610,31,1,0,207600.0
2,0,8484,876,140,1,0,71976.0
2,0,4288,659,117,1,0,112932.0
2,0,954,826,141,1,0,396000.0
5,4,287,2921,28,1,0,238800.0
3,0,7647,778,154,1,0,346800.0
1,0,8319,396,15,0,0,35808.0
2,0,499,739,51,1,0,354000.0
1,0,81,635,16,1,0,25140.0
2,0,9304,950,93,1,0,50100.0
3,0,171,753,34,1,0,212400.0
2,0,7052,605,68,1,0,186000.0
1,0,458,477,205,1,0,61200.0
2,0,4774,635,72,1,0,99600.0
1,0,1848,450,147,1,0,166799.99999999997
3,0,738,1259,55,0,0,336000.0
2,0,5247,515,194,1,0,148800.0
3,0,690,1274,8,1,0,504000.0
2,0,3712,582,213,1,0,178800.0
2,0,7826,720,26,1,0,68484.0
1,0,9442,320,34,1,0,83880.00000000001
1,0,4823,396,194,1,0,51588.0
1,0,4834,465,2,1,0,108000.0
2,0,9097,1047,5,1,0,59496.0
2,0,1343,1080,26,0,0,68688.0
2,0,768,555,30,1,0,157200.0
1,0,2523,261,140,1,0,56988.0
2,0,9713,528,5,0,0,37800.0
2,0,8544,586,217,1,0,54036.0
2,0,447,563,140,1,0,50400.0
2,0,5221,990,91,1,0,181200.0
2,0,4012,709,140,1,0,136799.99999999997
4,0,8118,1300,194,1,0,304800.0
2,0,9013,628,78,1,0,108000.0
2,0,746,587,67,1,0,168000.0
3,0,2678,1056,120,1,0,294000.0
1,1,9376,701,136,1,0,37188.0
3,0,8683,902,62,1,0,310800.0
1,0,8394,695,190,1,0,38160.0
1,0,78,313,151,1,0,33072.0
1,3,7548,270,194,1,0,24468.0
2,0,4540,625,120,1,0,176400.0
2,0,6966,639,56,1,0,229200.0
2,0,4847,614,190,0,0,53328.0
1,0,4697,365,197,1,0,34824.0
1,0,9254,750,198,1,0,68400.0
1,0,4965,425,124,1,0,40188.0
3,0,7031,845,31,1,0,282000.0
1,0,4288,473,117,1,0,83580.00000000001
1,0,4965,425,124,1,0,40188.0
2,0,4965,618,124,1,0,60600.0
2,0,4965,618,124,1,0,60600.0
1,0,4965,430,124,1,0,41891.99999999999
1,0,4965,430,124,1,0,41891.99999999999
3,0,7031,845,31,1,0,282000.0
2,0,7031,610,31,1,0,207600.0
2,0,7031,610,31,1,0,207600.0
3,0,7031,845,31,1,0,282000.0
3,0,7031,845,31,1,0,282000.0
1,0,617,425,47,1,0,43200.0
1,0,617,425,47,1,0,43200.0
2,0,617,651,47,1,0,67200.0
2,0,617,651,47,1,0,67200.0
1,0,617,425,47,1,0,43200.0
1,0,617,425,47,1,0,43200.0
2,0,617,651,47,1,0,67200.0
2,0,617,651,47,1,0,67200.0
1,0,4288,473,117,1,0,83580.00000000001
3,0,4288,946,117,1,0,165599.99999999997
3,0,4288,946,117,1,0,165599.99999999997
2,0,4288,667,117,1,0,113988.0
2,0,4288,667,117,1,0,113988.0
2,0,4288,682,117,1,0,116568.0
2,0,4288,682,117,1,0,116568.0
3,0,954,1133,141,1,0,574800.0
3,0,954,1133,141,1,0,574800.0
3,4,287,2187,28,1,0,178800.0
3,4,287,2187,28,1,0,178800.0
2,0,7647,579,154,1,0,217200.0
2,0,7647,579,154,1,0,217200.0
2,0,8319,486,15,0,0,43200.0
2,0,8319,486,15,0,0,43200.0
1,0,8319,361,15,0,0,33600.0
1,0,8319,361,15,0,0,33600.0
1,0,8319,377,15,0,0,33840.0
1,0,8319,377,15,0,0,33840.0
1,0,8319,382,15,0,0,34332.0
1,0,8319,382,15,0,0,34332.0
1,0,81,535,16,1,0,21179.999999999996
1,0,81,565,16,1,0,22368.0
1,3,81,380,16,1,0,16416.0
1,0,82,345,16,0,0,23892.0
1,0,82,352,16,0,0,24600.0
1,0,82,294,16,0,0,19200.0
1,0,82,366,16,0,0,25536.0
1,0,82,333,16,0,0,23195.999999999996
1,0,82,358,16,0,0,25068.0
1,0,82,372,16,0,0,26004.0
1,0,82,380,16,0,0,26472.0
1,0,9304,675,93,1,0,36000.0
1,0,9304,675,93,1,0,36000.0
2,0,9304,970,93,1,0,51300.0
2,0,9304,970,93,1,0,51300.0
1,0,9304,605,93,1,0,31800.0
1,0,9304,605,93,1,0,31800.0
1,0,9304,555,93,1,0,28800.0
1,0,9304,555,93,1,0,28800.0
1,0,9304,665,93,1,0,35400.0
1,0,9304,665,93,1,0,35400.0
1,0,9304,615,93,1,0,32400.0
1,0,9304,615,93,1,0,32400.0
2,0,9304,975,93,1,0,51600.0
2,0,9304,975,93,1,0,51600.0
1,0,9304,535,93,1,0,26400.0
1,0,9304,535,93,1,0,26400.0
1,0,9304,545,93,1,0,28200.0
1,0,9304,545,93,1,0,28200.0
2,0,9304,930,93,1,0,49200.0
2,0,9304,930,93,1,0,49200.0
1,0,9304,565,93,1,0,29400.0
1,0,9304,565,93,1,0,29400.0
2,0,171,543,34,1,0,153600.0
2,0,171,543,34,1,0,153600.0
2,0,171,859,34,1,0,242400.0
2,0,171,859,34,1,0,242400.0
2,0,171,590,34,1,0,166799.99999999997
2,0,171,590,34,1,0,166799.99999999997
1,0,171,430,34,1,0,121200.0
1,0,171,430,34,1,0,121200.0
2,0,171,705,34,1,0,199200.0
2,0,171,705,34,1,0,199200.0
1,0,171,421,34,1,0,118800.0
1,0,171,421,34,1,0,118800.0
2,0,7052,610,68,1,0,187200.0
2,0,7052,610,68,1,0,187200.0
2,0,458,708,205,1,0,89544.0
2,0,458,691,205,1,0,87372.0
2,0,458,829,205,1,0,104652.0
2,0,458,680,205,1,0,85212.00000000001
2,0,458,695,205,1,0,87851.99999999999
2,0,458,749,205,1,0,95868.0
3,0,458,1014,205,1,0,127200.0
1,0,4777,461,140,1,0,45600.0
1,0,4777,461,140,1,0,45600.0
2,0,4777,608,140,1,0,55200.0
2,0,4777,608,140,1,0,55200.0
1,0,1848,431,147,1,0,162000.0
1,0,1848,431,147,1,0,162000.0
1,0,4774,454,72,1,0,75600.0
1,0,4774,454,72,1,0,75600.0
1,0,4776,490,72,1,0,69600.0
1,0,4776,490,72,1,0,69600.0
2,0,4776,1091,72,1,0,157200.0
2,0,4776,1091,72,1,0,157200.0
2,0,4776,666,72,1,0,98400.0
2,0,4776,666,72,1,0,98400.0
2,0,738,725,55,0,0,204000.0
2,0,738,725,55,0,0,204000.0
4,0,738,1492,55,0,0,408000.0
4,0,738,1492,55,0,0,408000.0
2,0,738,715,55,0,0,201600.0
2,0,738,715,55,0,0,201600.0
1,0,738,505,55,0,0,129600.0
1,0,738,505,55,0,0,129600.0
2,0,5247,555,194,1,0,170400.0
2,0,5247,644,194,1,0,189600.0
2,0,5247,515,194,1,0,148800.0
2,0,5247,644,194,1,0,189600.0
2,0,5247,635,194,1,0,198000.0
1,0,738,505,55,0,0,129600.0
4,0,690,1969,8,1,0,826800.0
4,0,690,1969,8,1,0,826800.0
2,0,7826,720,26,1,0,68484.0
1,0,7826,514,26,1,0,46488.0
1,0,7826,514,26,1,0,46488.0
2,0,690,685,8,1,0,271199.99999999994
2,0,690,685,8,1,0,271199.99999999994
3,0,690,1236,8,1,0,489600.0
3,0,690,1236,8,1,0,489600.0
2,0,9097,1002,5,1,0,56940.0
2,0,9097,1002,5,1,0,56940.0
1,0,9097,840,5,1,0,45924.00000000001
1,0,9097,840,5,1,0,45924.00000000001
1,0,9097,702,5,1,0,38388.0
1,0,9097,702,5,1,0,38388.0
2,0,9097,1030,5,1,0,58536.0
2,0,9097,1030,5,1,0,58536.0
2,0,9097,1027,5,1,0,58356.0
2,0,9097,1027,5,1,0,58356.0
1,0,9097,730,5,1,0,39912.0
1,0,9097,730,5,1,0,39912.0
1,0,9097,790,5,1,0,43200.0
1,0,9097,790,5,1,0,43200.0
2,0,9097,950,5,1,0,53988.0
2,0,9097,950,5,1,0,53988.0
2,0,9097,1063,5,1,0,60408.0
2,0,9097,1063,5,1,0,60408.0
2,0,9097,1057,5,1,0,60060.0
2,0,9097,1057,5,1,0,60060.0
2,0,9097,1008,5,1,0,57276.0
2,0,9097,1008,5,1,0,57276.0
2,0,9097,1070,5,1,0,60804.0
2,0,9097,1070,5,1,0,60804.0
1,0,9097,812,5,1,0,44400.0
1,0,9097,812,5,1,0,44400.0
2,0,9097,1012,5,1,0,57504.0
2,0,9097,1012,5,1,0,57504.0
1,0,1343,740,26,0,0,47064.0
1,0,1343,740,26,0,0,47064.0
2,0,1343,1045,26,0,0,66456.0
2,0,1343,1045,26,0,0,66456.0
1,0,1343,690,26,0,0,43884.0
1,0,1343,690,26,0,0,43884.0
2,0,1343,1085,26,0,0,69000.0
2,0,1343,1085,26,0,0,69000.0
2,0,1343,1060,26,0,0,67416.0
2,0,1343,1060,26,0,0,67416.0
1,0,1343,795,26,0,0,50556.0
1,0,1343,795,26,0,0,50556.0
1,0,768,384,30,1,0,109212.0
1,0,768,384,30,1,0,109212.0
2,0,768,558,30,1,0,158400.0
2,0,768,558,30,1,0,158400.0
2,0,768,557,30,1,0,158400.0
2,0,768,557,30,1,0,158400.0
2,0,768,618,30,1,0,175200.0
2,0,768,618,30,1,0,175200.0
1,0,9713,501,5,0,0,35400.0
1,0,9713,399,5,0,0,29400.0
1,0,9713,440,5,0,0,31800.0
2,0,9713,635,5,0,0,43800.0
2,0,9713,569,5,0,0,39600.0
1,0,9713,464,5,0,0,33000.0
1,0,9713,422,5,0,0,31200.0
2,0,5221,937,91,1,0,162000.0
2,0,5221,945,91,1,0,172800.0
5,0,5221,2135,91,1,0,376800.0
3,0,5221,1198,91,1,0,214800.0
6,0,5221,2396,91,1,0,430800.0
3,0,5221,1698,91,1,0,297600.0
3,0,4012,895,140,1,0,170400.0
2,0,4012,601,140,1,0,117504.0
2,0,8118,679,194,1,0,148800.0
3,0,8118,887,194,1,0,224400.0
2,0,8544,692,217,1,0,63600.0
1,0,8544,487,217,1,0,44388.0
1,0,9013,515,78,1,0,90000.0
1,0,746,427,67,1,0,122400.0
1,0,746,380,67,1,0,109440.0
2,0,746,517,67,1,0,148800.0
1,0,6905,651,8,0,1,24000.0
2,0,8538,1000,5,0,1,38400.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
2,0,8252,950,198,1,1,96000.0
2,0,182,950,86,1,1,66000.0
1,0,6905,650,8,0,1,24000.0
4,0,5645,2100,154,0,1,390000.0
1,0,4420,720,47,1,1,56400.0
3,0,941,1530,30,0,1,342000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,1187,560,125,0,1,30000.0
1,0,6905,651,8,0,1,24000.0
1,0,747,400,61,1,1,95760.0
1,0,1653,530,136,0,1,27348.0
2,0,7365,920,47,1,1,78000.0
1,0,4849,550,190,0,1,30000.0
1,0,234,650,28,1,1,24000.0
1,0,6905,651,8,0,1,24000.0
4,0,7307,1500,79,0,1,672000.0
1,0,6905,650,8,0,1,24000.0
1,0,1187,520,125,0,1,30000.0
1,0,6905,651,8,0,1,24000.0
1,0,3156,453,194,0,1,102000.0
1,0,9781,650,141,0,1,120000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
2,0,1975,920,96,0,1,132000.0
1,0,6905,650,8,0,1,24000.0
1,0,8248,570,194,0,1,66000.0
1,0,6905,651,8,0,1,24000.0
1,0,4774,750,72,0,1,54000.0
2,0,1987,500,190,0,1,12000.0
1,0,6905,651,8,0,1,24000.0
1,0,4777,677,140,0,1,36000.0
1,0,4777,650,140,1,1,42000.0
1,0,6905,651,8,0,1,24000.0
3,0,2678,1015,120,1,0,294000.0
3,0,2678,1116,120,1,0,342000.0
3,0,2678,1116,120,1,0,342000.0
3,0,2678,1056,120,1,0,294000.0
3,0,2678,1056,120,1,0,294000.0
3,0,2678,1015,120,1,0,294000.0
3,0,2678,1015,120,1,0,294000.0
3,0,2678,1116,120,1,0,342000.0
3,0,2678,1056,120,1,0,294000.0
3,0,2678,1015,120,1,0,294000.0
1,0,6905,651,8,0,1,24000.0
3,0,2726,1076,7,1,0,382800.0
3,0,2726,1076,7,1,0,382800.0
3,0,2726,1076,7,1,0,382800.0
2,0,2726,718,7,1,0,254400.0
3,0,2726,1076,7,1,0,382800.0
2,0,2726,758,7,1,0,268800.00000000006
2,0,2726,718,7,1,0,254400.0
3,0,2726,991,7,1,0,352800.0
2,0,2726,758,7,1,0,268800.00000000006
3,0,2726,991,7,1,0,352800.0
2,0,2726,618,7,1,0,218400.0
2,0,2726,618,7,1,0,218400.0
3,0,2726,1033,7,1,0,367200.0
3,0,2726,1033,7,1,0,367200.0
3,0,2726,913,7,1,0,324000.0
3,0,2726,913,7,1,0,324000.0
3,0,2726,866,7,1,0,308400.0
3,0,2726,866,7,1,0,308400.0
2,0,2726,562,7,1,0,204000.0
2,0,2726,562,7,1,0,204000.0
3,0,2726,948,7,1,0,337200.0
3,0,2726,948,7,1,0,337200.0
3,0,2718,894,117,1,0,223200.0
2,0,2718,668,117,1,0,162000.0
1,0,6905,651,8,0,1,24000.0
1,0,9655,555,28,0,1,18600.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,1209,729,41,0,1,61200.0
2,0,3130,1020,117,0,1,132000.0
2,0,3130,1035,117,0,1,138000.0
2,0,3563,1070,117,0,1,106800.0
2,0,3563,1070,117,0,1,111600.0
2,0,3563,1050,117,0,1,99600.0
2,0,3563,1050,117,0,1,96000.0
2,0,3130,1021,117,0,1,133200.00000000003
2,0,1209,1045,41,0,1,94800.0
2,0,1209,1039,41,0,1,96000.0
2,0,3130,1080,117,0,1,136799.99999999997
2,0,3563,750,117,0,1,87600.0
1,0,3563,650,117,0,1,74400.0
2,0,3563,1050,117,0,1,94800.0
2,0,3563,1050,117,0,0,96000.0
2,0,3563,1020,117,0,1,102000.0
2,0,3209,785,117,0,1,111600.0
2,0,3209,765,117,0,1,109200.0
1,0,3209,850,117,0,1,138000.0
2,0,3209,850,117,0,1,133200.00000000003
1,0,6905,651,8,0,1,24000.0
1,0,3563,620,117,0,1,72000.0
2,0,3209,856,117,0,1,141600.0
2,0,3563,750,117,0,1,84000.0
2,0,3209,768,117,0,1,108000.0
2,0,3209,856,117,0,1,142800.0
1,0,3209,756,117,0,1,87600.0
2,0,3209,850,117,0,1,126000.0
1,0,3209,675,117,0,1,88800.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,650,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,6905,651,8,0,1,24000.0
1,0,3044,600,83,0,1,40320.0
1,0,6893,520,194,0,1,25800.0
1,0,6905,650,8,0,1,24000.0
1,0,8100,685,205,1,1,43643.99999999999
2,0,3563,870,117,0,1,114000.0
3,0,3130,1665,117,0,1,238800.0
2,0,3563,1050,117,0,1,108000.0
1,0,3209,756,117,0,1,92400.0
1,0,3209,785,117,0,1,91200.0
2,0,1653,860,136,0,1,46440.00000000001
1,0,216,600,91,0,1,36000.0
1,3,2068,380,136,0,1,16800.0
1,0,995,600,104,1,1,21600.0
2,0,390,581,56,1,1,150000.0
2,0,3130,810,117,0,1,141600.0
3,0,3130,1200,117,0,1,222000.0
2,0,3563,856,117,0,1,94800.0
2,0,3563,856,117,0,1,96000.0
1,0,1209,629,41,0,1,66000.0
1,0,1209,620,41,0,1,67200.0
2,0,1209,850,41,0,1,93600.0
2,0,1209,850,41,0,1,94800.0
2,0,3130,1350,117,0,1,258000.0
2,0,3563,1070,117,0,1,114000.0
2,0,3209,789,117,0,1,117600.0
1,0,3563,659,117,0,1,70800.0
2,0,3209,789,117,0,1,117600.0
1,0,3563,659,117,0,1,70800.0
1,0,3563,656,117,0,1,73200.0
2,0,3563,850,117,0,1,93600.0
2,0,3130,825,117,0,1,132000.0
1,3,2068,380,136,0,1,16800.0
1,0,995,600,104,1,1,21600.0
1,0,216,600,91,0,1,36000.0
